2026-03-26 22:45:12,ppti-14-502-01,UNREACHABLE,
2026-03-26 22:45:12,ppti-14-502-02,UNREACHABLE,
2026-03-26 22:45:12,ppti-14-502-03,OK,50.04
2026-03-26 22:45:12,ppti-14-502-04,UNREACHABLE,
2026-03-26 22:45:12,ppti-14-502-05,UNREACHABLE,
2026-03-26 22:45:12,ppti-14-502-06,OK,0.08
2026-03-26 22:45:12,ppti-14-502-07,OK,29.87
2026-03-26 22:45:12,ppti-14-502-08,OK,32.64
2026-03-26 22:45:12,ppti-14-502-09,UNREACHABLE,
2026-03-26 22:45:12,ppti-14-502-10,OK,29.74
2026-03-26 22:45:12,ppti-14-502-11,UNREACHABLE,
2026-03-26 22:45:12,ppti-14-502-12,OK,50.54
2026-03-26 22:45:12,ppti-14-502-13,OK,29.53
2026-03-26 22:45:12,ppti-14-502-14,OK,29.53
2026-03-26 22:45:12,ppti-14-502-15,OK,29.53
2026-03-26 22:45:12,ppti-14-502-16,UNREACHABLE,
